User Id,,User Name,,User ScreenName,,User's Location,,Post was Created on,,Text Content,,Number of retweet
1040653166474395649,,b'Fadhal Abdullahi',,b'fadhal_007',,"Kaduna , Nigeria",,,2018-09-14 17:27:03,,"b""@Asincole @ItsOyat Gentleman you're on point, I bet you if you play any fifa fan twice you will be beating him as easy as #bergertoajah""",,0
1039985538646700032,,b'Hauwa A. Okpanachi',,b'HOkpanachi',,"Abuja, Nigeria",,,2018-09-12 21:14:09,,"b'@didabliz @Ifii_Ifii So just to put derin to sleep and listen to okpolor remind her of the meeting,took at least 2h\xe2\x80\xa6 https://t.co/ewn7jhfRTx'",,0
1039414024918712320,,b'\xf0\x9f\x8d\x8cDODO-KUNLE\xf0\x9f\x8d\x8c',,b'OMO_ODODOWA',,Surulere Lagos,,,2018-09-11 07:23:09,,"b'RT @iBigNitch: @OMO_ODODOWA @hay_whye You know this. \nI mean, no time for some #BergertoAjah drama n shit. \xf0\x9f\x99\x85'",,1
1039413660471488512,,b'Nez',,b'iBigNitch',,Mars,,,2018-09-11 07:21:42,,"b'@OMO_ODODOWA @hay_whye You know this. \nI mean, no time for some #BergertoAjah drama n shit. \xf0\x9f\x99\x85'",,1
1039285989682937856,,b'Esse Change',,b'Oluwa_Boko',,Nigeria,,,2018-09-10 22:54:23,,b'@iam_enniz @chiomachucks @Clinton_Vice_B I hope someone here is not planning another #BergertoAjah',,0
1039112261892222976,,b'Miss_T',,b'VuyokaziTapi',,"East London, South Africa",,,2018-09-10 11:24:03,,b'RT @aoasuni: #BergerToAjah @DapoTuburna is something else... https://t.co/HKjeg5lUyP',,1
1039110569993928704,,b'Korede',,b'aoasuni',,"Lagos, Nigeria",,,2018-09-10 11:17:20,,b'#BergerToAjah @DapoTuburna is something else... https://t.co/HKjeg5lUyP',,1
1038121092873895938,,b'Mayor mad',,b'_thecopycat',,,,,2018-09-07 17:45:30,,"b""RT @officialbethram: Tag someone who need this handkerchief's\n#Federal #Towel #Joke #Comedy #skit #Police #Funny #smallgirlbiggod #IsYourBo\xe2\x80\xa6""",,4
1037721999899066372,,b'Quest_xxx',,b'memzi_quest',,Nigeria,,,2018-09-06 15:19:39,,"b""@Gracymama1 @KoloJesse @Rouvafe Waste of coke.... mix it with tramadol or codine, and you won't know when you trek from #BergertoAjah""",,0
1040653166474395649,,b'Fadhal Abdullahi',,b'fadhal_007',,"Kaduna , Nigeria",,,2018-09-14 17:27:03,,"b""@Asincole @ItsOyat Gentleman you're on point, I bet you if you play any fifa fan twice you will be beating him as easy as #bergertoajah""",,0
1039985538646700032,,b'Hauwa A. Okpanachi',,b'HOkpanachi',,"Abuja, Nigeria",,,2018-09-12 21:14:09,,"b'@didabliz @Ifii_Ifii So just to put derin to sleep and listen to okpolor remind her of the meeting,took at least 2h\xe2\x80\xa6 https://t.co/ewn7jhfRTx'",,0
1039414024918712320,,b'\xf0\x9f\x8d\x8cDODO-KUNLE\xf0\x9f\x8d\x8c',,b'OMO_ODODOWA',,Surulere Lagos,,,2018-09-11 07:23:09,,"b'RT @iBigNitch: @OMO_ODODOWA @hay_whye You know this. \nI mean, no time for some #BergertoAjah drama n shit. \xf0\x9f\x99\x85'",,1
1039413660471488512,,b'Nez',,b'iBigNitch',,Mars,,,2018-09-11 07:21:42,,"b'@OMO_ODODOWA @hay_whye You know this. \nI mean, no time for some #BergertoAjah drama n shit. \xf0\x9f\x99\x85'",,1
1039285989682937856,,b'Esse Change',,b'Oluwa_Boko',,Nigeria,,,2018-09-10 22:54:23,,b'@iam_enniz @chiomachucks @Clinton_Vice_B I hope someone here is not planning another #BergertoAjah',,0
1039112261892222976,,b'Miss_T',,b'VuyokaziTapi',,"East London, South Africa",,,2018-09-10 11:24:03,,b'RT @aoasuni: #BergerToAjah @DapoTuburna is something else... https://t.co/HKjeg5lUyP',,1
1039110569993928704,,b'Korede',,b'aoasuni',,"Lagos, Nigeria",,,2018-09-10 11:17:20,,b'#BergerToAjah @DapoTuburna is something else... https://t.co/HKjeg5lUyP',,1
1038121092873895938,,b'Mayor mad',,b'_thecopycat',,,,,2018-09-07 17:45:30,,"b""RT @officialbethram: Tag someone who need this handkerchief's\n#Federal #Towel #Joke #Comedy #skit #Police #Funny #smallgirlbiggod #IsYourBo\xe2\x80\xa6""",,4
1037721999899066372,,b'Quest_xxx',,b'memzi_quest',,Nigeria,,,2018-09-06 15:19:39,,"b""@Gracymama1 @KoloJesse @Rouvafe Waste of coke.... mix it with tramadol or codine, and you won't know when you trek from #BergertoAjah""",,0
1040653166474395649,,b'Fadhal Abdullahi',,b'fadhal_007',,"Kaduna , Nigeria",,,2018-09-14 17:27:03,,"b""@Asincole @ItsOyat Gentleman you're on point, I bet you if you play any fifa fan twice you will be beating him as easy as #bergertoajah""",,0
1039985538646700032,,b'Hauwa A. Okpanachi',,b'HOkpanachi',,"Abuja, Nigeria",,,2018-09-12 21:14:09,,"b'@didabliz @Ifii_Ifii So just to put derin to sleep and listen to okpolor remind her of the meeting,took at least 2h\xe2\x80\xa6 https://t.co/ewn7jhfRTx'",,0
1039414024918712320,,b'\xf0\x9f\x8d\x8cDODO-KUNLE\xf0\x9f\x8d\x8c',,b'OMO_ODODOWA',,Surulere Lagos,,,2018-09-11 07:23:09,,"b'RT @iBigNitch: @OMO_ODODOWA @hay_whye You know this. \nI mean, no time for some #BergertoAjah drama n shit. \xf0\x9f\x99\x85'",,1
1039413660471488512,,b'Nez',,b'iBigNitch',,Mars,,,2018-09-11 07:21:42,,"b'@OMO_ODODOWA @hay_whye You know this. \nI mean, no time for some #BergertoAjah drama n shit. \xf0\x9f\x99\x85'",,1
1039285989682937856,,b'Esse Change',,b'Oluwa_Boko',,Nigeria,,,2018-09-10 22:54:23,,b'@iam_enniz @chiomachucks @Clinton_Vice_B I hope someone here is not planning another #BergertoAjah',,0
1039112261892222976,,b'Miss_T',,b'VuyokaziTapi',,"East London, South Africa",,,2018-09-10 11:24:03,,b'RT @aoasuni: #BergerToAjah @DapoTuburna is something else... https://t.co/HKjeg5lUyP',,1
1039110569993928704,,b'Korede',,b'aoasuni',,"Lagos, Nigeria",,,2018-09-10 11:17:20,,b'#BergerToAjah @DapoTuburna is something else... https://t.co/HKjeg5lUyP',,1
1038121092873895938,,b'Mayor mad',,b'_thecopycat',,,,,2018-09-07 17:45:30,,"b""RT @officialbethram: Tag someone who need this handkerchief's\n#Federal #Towel #Joke #Comedy #skit #Police #Funny #smallgirlbiggod #IsYourBo\xe2\x80\xa6""",,4
1037721999899066372,,b'Quest_xxx',,b'memzi_quest',,Nigeria,,,2018-09-06 15:19:39,,"b""@Gracymama1 @KoloJesse @Rouvafe Waste of coke.... mix it with tramadol or codine, and you won't know when you trek from #BergertoAjah""",,0
